Protein.Group,Genes,Kd_mean_8,Kd_mean_21,Kd_mean_60,Halflife_8,Halflife_21,Halflife_60,Oxy8vs21_Log2FC,Oxy8vs21_tval,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_tval,Oxy60vs21_pval,Oxy60vs21_FDR
Q921H8,ACAA1A,0.210279811,0.172299085,0.271678298,3.296308748,4.02293012,2.551352778,0.287395299,-3.255953309,0.001130123,0.008763268,0.656984283,-7.272255127,3.54E-13,6.87E-11
P32020,SCP2,0.421974314,0.288090189,0.51489018,1.642628846,2.406007584,1.346203924,0.550634652,-4.149652992,3.33E-05,0.000510195,0.837744224,-6.405579862,1.50E-10,1.70E-08
P52760,RIDA,0.154252547,0.083429191,0.185018831,4.493586613,8.30820929,3.746360182,0.886670149,-2.705804926,0.006813906,0.034522583,1.149047949,-4.081071457,4.48E-05,0.000903213
P51660,HSD17B4,0.180911845,0.142632022,0.300115588,3.831408508,4.859688401,2.309600724,0.342988957,-1.5278165,0.126558104,0.281269651,1.073220347,-3.929968273,8.50E-05,0.001453354
Q9R0H0,ACOX1,0.315000768,0.23970427,0.453214197,2.200461875,2.891676397,1.529403062,0.394099736,-1.220639783,0.222222437,0.412717311,0.918937444,-3.346696345,0.000817807,0.008425894
Q00519,XDH,0.138211637,0.129361189,0.180607033,5.015114486,5.358231368,3.837874798,0.095474243,-1.563841774,0.117854731,0.26809638,0.481449231,-3.155092156,0.001604474,0.014113319
P55096,ABCD3,0.18247362,0.180879035,0.245153349,3.798615835,3.832103476,2.827402456,0.012662703,-0.557666203,0.57707234,0.751407168,0.438659265,-2.922771844,0.003469306,0.02432091
Q99P30,NUDT7,0.063339131,0.202632627,0.364021186,10.94342733,3.42070865,1.904139671,-1.677697505,4.500186369,6.79E-06,0.000136087,0.845155926,-2.826864692,0.004700619,0.030083959
P41216,ACSL1,0.134924564,0.102804577,0.168365818,5.137294206,6.742376667,4.116911556,0.392248529,-2.097702503,0.035931434,0.11891327,0.711694771,-2.686733578,0.007215448,0.041846521
P24270,CAT,0.082858272,0.112283752,0.142465199,8.365455444,6.173174382,4.86537896,-0.438431542,5.007507541,5.51E-07,1.67E-05,0.343460366,-2.387832847,0.016948048,0.081302806
